"Train Accuracy = 57.9999983311"
"Loss = 0.682099"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"Shaqk311","The original SHAK in LA before the Big Shaq came to town! 80's LAKERS forever!","@VeniceMase at this point just staying healthy and seeing the core group of young guys develop","0084B4","C0DEED","0","1","False"
"pedrojsexton","","We made a zip file of all of our leaked snaps and its free_. https://t.co/iDFt4GNhs5 https://t.co/9jVh0zeD5W","0099CC","FFF8AD","1","1","True"
"RTAReVive","","October 19 2015: The #TOcouncil and mayor @JohnTory have pledged to initiate Toronto's first ever 20 year anti-poverty plan. #TOProsperity","0084B4","C0DEED","1","1","True"
"allie_avena","","Ok when michone and Daryl die I'm really gonna lose it","0084B4","C0DEED","1","1","True"
"twittshaggy","Co-Owner WEYNT LLC. BOOKINGS / CONSULTANTS @_WEYNT http://t.co/2TV11kCCPK ( Blackberry BBM pin: 2b0b84c8 )","#Repost @seekthetruth_ with repostapp.

Repost _ ugly_by_nature 85% of the #tampons, cotton and_ https://t.co/RrJ5YzuV2H","0099B9","5ED4DC","0","1","False"
"libbica","45% introvert, 5% peanut butter, 50% dad jokes, and 100% saved by Jesus","in other news, I just realized that the fancy pen I threw away a few weeks ago was actually my tire pressure gauge","0084B4","C0DEED","1","1","True"
"claudiarebizant","","The things I would do to see @ThomasRhett and @bretteldredge on this tour ______","2CCFC1","0","1","1","True"
"LydiaGreatrix","YouTuber | New video every Sunday at 6pm | Anti Bullying Campaigner and Diana Award Holder | Views are my own | lydia.greatrix@gmail.com","@sinittaofficial @Ttall @DianaAward proud to be involved with the incredible charity Sinitta! Hope you're having a good night!","3B94D9","FFFFFF","1","1","True"
"44LETHARosa9","there is a problem with this mattress","When the squad comes over https://t.co/yDdIXqKhKJ","0084B4","C0DEED","1","1","True"
"MariaRodriguz16","Unapologetic explorer. Bacon fan. Travel practitioner. Music aficionado. Introvert. Lifelong alcohol guru. Social mediaholic.","#Zuckerbergs to start school mixing learning and health https://t.co/0FmQpaoJAe https://t.co/VLXivYcsCg","0084B4","C0DEED","1","1","True"
"KerrTheBlurr","","I haven't played halo in forever, I wonder where I'll play in the ranked system.","0084B4","C0DEED","0","1","False"
"celinabecxo","19
SC: celinkydinky","@CFBAlbert I was thinking the same thing earlier! lol I'm gonna give it a shot probably tomorrow, thanks! __","0084B4","C0DEED","1","1","True"
"L_Giagia","Juriste - droit des affaires. Fan de musique, de srie et... plein d'autres choses.","@ElsaPataky_ the luckiest woman in the world : @chrishemsworth 's wife, and more, @liamHemsworth sister-in-law Haha","2FC2EF","181A1E","1","1","True"
"Flores50C","","@yagurlaileen lol what you mean not text back, your the one that never texted me back","0084B4","C0DEED","0","1","False"
"luchi7","This is my personal profile-the views expressed here have absolutely nothing to do with where I work.","@AnnieLovesAria frightening thing is her saying her mates won't be registering either what's the point we have better things to do","2FC2EF","181A1E","0","1","False"
"CadenSuiter","11 MCMS","@Jack_Septic_Eye 
Hi Sean/Jack I hope you read this and I really love your vids and I love your comedy I watch your vids when I get home","0084B4","C0DEED","0","1","False"
"dsghi","Founder & CEO of @igniteSG; Tech, management & marking consultant. Hobbies: Web & mobile app dev, sports, life in Hawaii. Believer in the greater good.","SHA1 algorithm securing e-commerce and software could break by years end https://t.co/pG6FkbZ4JM","3B94D9","0","0","1","False"
"kaibacest_txt","real quotes from real kaibacest fics. nsfw warning","His gaze lingered on the hands which were basically fisting his towel","0084B4","C0DEED","1","1","True"
"smol_and_tol","1.04.15 | yes of course, always | l.w.t _ h.e.s","Where's the lie https://t.co/3vh7n4NfzU","89C9FA","0","1","1","True"
"E3_UNLEASHED","My Life Is Like A TV Show A TCB Man Fixing My Life & Finding First & True Love #TIML #D1 Determined #GIOMS  #TenKid23#TCBFL! #FOE","@Toothpick_Bevis What is your point?..look man this is not the tennis page for one all they do is update the year schedule and everything","9999","EEEEEE","0","0","True"
"ade_kunle_","Ever tried. Ever failed. No matter. Try again. Fail again. Fail better.","@Eloghosa_O air maxes are light and you can basically wear any type of trousers and still pull it off, that struggle on the other hand,filth","D02B55","829D5E","1","1","True"
"Yung_Zoro93","Labels don't fit me *shrugs* 
#TeamGamer  #TeamTaurus #LOCKNATION #ProudOtaku HENSHIN #WCNation #QAX #5Club
#RUAFFTPD #Deuce #SandzOf2K12","Trick or Treat in the tower. Got my Oryx mask lol  #PS4share https://t.co/Dnb855fhwM","CF0689","0","0","1","False"
"WAHMRevolution","Mom of 3, Publisher of Work at Home Mom Revolution, providing work at home job and home business opps daily! #jobs #moms #family #parenting #WAHMs #mompreneurs","Be Your Own Boss! 
Start a Fun and Flexible Work at Home Transcription  Career! https://t.co/NlgwVF1MPg #Moms #Jobs https://t.co/qQgscjJ40q","EA850C","FFFFFF","1","1","True"
"HPGabri","_HAPPINESS starts with an H and ends with an S. So does @Harry_Styles! 

--My happy days with 1D are: 28/06/14, 10/06/15, 29/09/15--","I Just voted for @onedirection for #ArtistOfTheYear Go Here https://t.co/g7keeRq593 and vote for your favorite!  #AMAs #OneDirection","FF005E","0","1","1","True"
"TayloredTyler","Rest easy rob 12-15-11| Just trying to make it| #ECU19","I wish I had the money to go to Tahoe for the first week of Winter break and do some skiing","0084B4","C0DEED","0","1","False"
"bobdestefano","B2B online marketing strategist and professional speaker that helps industrial companies leverage online marketing to produce bottom-line results.","The Marketer's Guide to Developing a Strong Corporate and Brand Identity - https://t.co/ppXwRl5SS0 #b2b #onlinemarketing #branding","0084B4","C0DEED","0","1","False"
"AlexHH25","Founder @MonstrousGame @WeAreDebut @imChimp  COO and Com. Manager @CreatorStudios_   Girlfriend @Roseisatiger","@Caruzic ey @stampylongnose, notice the wee lass?","6E6E6E","FFFFFF","0","1","False"
"jesicamavie","lover of catz","I guess honesty, truth, and making up for what I did wrong makes me a bad person. _","0084B4","C0DEED","1","1","True"
"tyler_thorne","Marine Corps Veteran. Happily engaged to the love of my life. I love Hockey. Diehard fan of the Gators, Penguins, Jaguars, US Soccer,and Chelsea FC #GatorNation","@XboxSupport I HAVE BEEN OFF SUSPENSION SINCE 8PM SATURDAY AND MY CHAT STILL WONT WORK","0084B4","C0DEED","0","1","False"
"TheNorthTe_","You cant finesse a finesser, play a player, or script a scripter, I know this game, im not a lame, Keep that shit hot 9Dime #SpanishNative Snapchat:tepisaro","Why Nasir in the living room bumpin rude boy _","AF0F0F","0A090A","0","1","False"
"ElisaLissette_","Instagram: elisa.lissette snapchat: elisalissette","I get off in a half hour and didn't even start dinner for the kids","0084B4","C0DEED","1","1","True"
"OMISOREKOLAJO","Im highly versatile and adaptable professional with proven skills and expertise.","BREAKING: #Election #Tribunal Sacks Speaker And 20 House Of Assembly Lawmakers In #Rivers State

Elections... https://t.co/eb4GcEFZI9","DD2E44","C0DEED","0","1","False"
"iHandleBiz","I speak the truth","I've been hated and abused _ and I'm still living life bro.","0084B4","C0DEED","0","1","False"
"Tuff_Cookie","Volcanologist, AGU geoblogger. Sometimes known as Magma, PI. Tweets are my personal comments/opinions.","@timblor Was like being at a defense where the committee members haven't read the thesis, don't study the topic, and all hate the candidate.","00606E","C9B180","1","1","True"
"jcgreen_","You're a fucking amazing person.","Babysitting the little bros is a bitter sweet situation. They're rowdy and super adorable at the same time. the fact that I love them helps.","8D02B3","0","0","1","False"
