"Train Accuracy = 59.9999964237"
"Loss = 0.719533"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"Ray_Aronds","Marketing Communication & Sales trendwatcher, Movie & Music Collector.  See also : LinkedIn.","Robert Walker And The Soul Strings - Stick To Me (RCA Victor - 47-9304 - 1967) https://t.co/GVRR88DKFW","FF3300","86A4A6","0","1","False"
"ReickoA","Published Author from the Metropolitan Area. I love writing books and networking.","Click the caption and enjoy chapter 1 for free.
MichaelVDC https://t.co/qXZYRn5bm4","0084B4","C0DEED","0","1","False"
"wizzybiebs","marie and lucie only the best","bieber is back and you can't stop him #itsouryearjustin","ABB8C2","FFFFFF","0","1","False"
"basilbottler","Podcaster, optimist, dreamer, fearless explorer, gardener, gambler, poet, lover, hard drinker and builder of a home made, manure powered space rocket.","Tonight, at 10pm...Go to https://t.co/fOI73WFzoA and search for 'Basil Bottler' for a smutty and very shit radio show.","3B94D9","0","1","0","False"
"amickc3","CUW. Jeremiah 29:11. God is so so good.","Taco Bell dates and T-Swift jams with this girl make my day. @britwil2014 https://t.co/P5GRfVKFEz","0084B4","C0DEED","1","0","False"
"chloezarafaith","festival and events student who likes wine a little too much. taylor swift/patriots/disney/asoiaf.","goals for next two weeks: a 3000 word report to be completed, study abroad essay, and finish the west wing. nae bother.","F5ABB5","FFFFFF","1","1","True"
"_PrettyDessiy","RIP CARTERRIO JOHNSON","Seem like the only move worth making","0084B4","FFFFFF","1","0","False"
"NickMakhoul","2x beer league softball World Champion. #23 RF, 2B, and C for Lou's Tavern. Lifetime .579 postseason hitter","Herm Edwards is the man","0084B4","FFFFFF","0","1","False"
"morning_glory9","There Is A Light That Never Goes Out","I'm #reading The Book Thief by Markus Zusak https://t.co/WkoOUPDI4P","FF00E1","65B0DA","1","1","True"
"1_NewarkOutlaw","Nott'm Forest & Notts CCC supporter. Also enjoy live music & beer. Instagram: 1_newarkoutlaw","@glamwalker45 thanks for the follow :-)","3B94D9","0","0","1","False"
"LGP248","No boat shoes no entry","And tacos cause you know","0084B4","C0DEED","0","1","False"
"TudoSobreQuase","","https://t.co/miYAuiSOD0 like and subscribe to the channel https://t.co/vLKzpoSPIf","3B94D9","0","1","1","True"
"DavidCama18","","""Spectre"" world premiere: Daniel Craig and his co-stars certainly looked like special agents in their sophisti... https://t.co/QGZCzlCt6h","0084B4","C0DEED","0","0","True"
