"Train Accuracy = 62.0000004768"
"Loss = 0.612607"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"CassieisAllred","My words are like Ponyboy Curtis.. They stay golden.","I want to help at haunted high but I also need to get this common paper done and out of the way","CC3366","DBE9ED","1","1","True"
"submx8ch","Yes, @support, you locked it. Your algorithm is broken. It's not Automated. Tell your script kiddies I don't HAVE Cell Phone!","""And more..."" Like trolling for #gunsense arguments? May I ask what was that point?
@Lightcaster88 @GregCampNC","0084B4","C0DEED","0","0","True"
"ednamohamed_","Try hard writer  Film and Theatre Correspondent for @Shoutout_Uk  Sometimes I also like to think I'm funny  

edna.mohamed@hotmail.co.uk","...and it was raining and I really wasn't here for it, but in that moment I had such a strange spiritual experience","9999","0","1","1","True"
"Falantino1","","Wedding Stationery/Gifts.Couture stationery and giftsfor the style concious bride.See details:https://t.co/nDttpA0mqZ","0084B4","C0DEED","1","1","True"
"mirandajewelz","sc & insta: miranduhjewels","some shit will never be the same and there isn't shit i can do about it.","9266CC","FFFFFF","1","0","False"
"ehouser_","Music gives a soul to the universe, wings to the mind, flight to the imagination and life to everything.","@TKSphill @milee_philatic it will be worth the wait:) I'm sure the photos will be gorgeous..and the lovely couple will be stunning!","9266CC","0","1","1","True"
"Hamfosi44","Fortis cadere cedere non potest......","@SomersF1 I too was a little disappointed with the Brundle segment in the W06. Thought it would be longer and more detailed.","0084B4","C0DEED","0","1","False"
"cutestcurly","baby, we could be enough","@Harry_Styles hi H! my birthday is in 10 days and your follow would be the greatest gift of all! please make it happen? all the love_140,652","F5ABB5","0","1","0","False"
"DanielGAlarcon","novelist / @radioambulante / @columbiajourn","I went on a trip and came home to discover it had spoiled.","0084B4","C0DEED","0","1","False"
"LydiaOBrien1_","","Don't know what to think of the human centipede tbh","0084B4","C0DEED","1","0","False"
"uncletypewriter","A blistering ray of sunshine. I speaks as I finds ","Propose at my wedding and I'm punching you square in the throat before your partner even has the chance to respond.","7BB4B8","FFFFFF","1","1","True"
"tariqazizabbas2","","Do Astsgh far.  Good night Brother Sister and friends from sindh pakistan.","0084B4","C0DEED","0","1","False"
"malcolmkellypom","Spiritual practitioner/social philosopher author working on eliminating the toxic beliefs concealing my enlightenment","Listening to Enlightenism and the Black Lives... by Malcolm Kelly Powers of Mind Hour https://t.co/2HAphXfOpB","0084B4","C0DEED","0","1","False"
"Jennysjams","Handmade jam, chutney & marmalade.  Retail & Trade.  Talks and Demo's available.  #SBS Winner   . http://t.co/QKi2M9sYGD
Jampionship judge 2014","It  has to be a jamtini of course, Vodka and Strawberry jam.  #lincshour","0084B4","C0DEED","1","1","True"
"AlvanJenkins","I gotta make it to heaven for going through hell .  Playful || HIP HOP || ARCHITECT  || IG: ALVANJENKINS || Fc Barcelona __","""yes na it was known in s1 @FinallyVeevy: Now into season 3 and I still haven't quite figured it out. Is Reddington Liz's father?""","0084B4","C0DEED","0","0","True"
"PadddyBlack","born 1993 -  music at heart  - I love things.","I have a meeting with the two professors who oversee our research projects tomorrow and I'm so scared they'll reject my topic","2FD7ED","181A1E","1","0","False"
"Crystal_Hilton","Movie Star & Pop Star sensation. Wrestler by trade. FFW Hall of Famer. 2014 FFA winner,Engaged  to @sinkmeisterCCM","@SuperheroRoxi #OOC Dallas comes to Atlanta for the NFC title!","0084B4","FFFFFF","1","1","True"
"yesiluvmcds","I do love mcdonalds, among many other things!","Be careful when a loop exits to the same place from side and bottom.","0084B4","C0DEED","1","1","True"
"M_Matthews","@nyu_journalism grad student. Obsessed with conspiracy theories, food and words","The people here are so friendly. Probably because I'm a regular and buy 1,000 diet cokes a day. (at @7Eleven) https://t.co/nnvnvnQsSu","ABB8C2","0","1","1","True"
"_Pappi__Chulo","Child of God _ RIH Kina","My grandmother wanted me to call her just to tell me not to join the service because I should be finding a husband to take care of me _","F5CEE1","FFFFFF","1","1","True"
"SimonReye","","@Atticus_Amber @ronjatimber @RichardDawkins fast food is unhealthy and icky too. Is it immoral?","0084B4","C0DEED","0","1","False"
"melferburque","ace of clovers. furry brick built man. trying to be a kinder, gentler asshole.","@PicklesTFC I just refuse to eat grapes. I have a weird relationship with fruit. I only eat melons, berries, bananas and apples.","9999","EEEEEE","0","0","True"
"Bigbootyyjudy_","I Love Me...Myself....&....I","Need A Ride Home From Practice ___And its Raining Hard Asf ____","0084B4","C0DEED","1","1","True"
"MikeTNelson","MSME, PhD Exercise Physiology CSCS, Consultant, Univ Instructor, Adrenaline Junkie; FREE 6 Part
Fat Loss Video Training http://t.co/4ZckQZw1","I got to have some BBQ for lunch today with my buddy @Nick ""the man behind the Fitness Summit"" and sports nut. https://t.co/xWZzuyjCkJ","9AE4E8","FFFFFF","0","1","False"
"seiarramadison","w.i.t.a.f","I don't care what anyone says, the first Hangover will be the funniest one of the three","0084B4","C0DEED","1","1","True"
"_iamToto","On the cover of Most Unproductive 20 Year Old. Get your copy now. x","@GuitarmanDan idek watch that! I watched Fear The Walking Dead. _","EB09DC","0","1","1","True"
"kaebitb","Apple freak girl and love games","Photo: The News from Lake Wobegon from a Prairie Home Companion, August 28, 2010 - Garrison Keillor | _:... https://t.co/ZFMmFx0SX6","0084B4","C0DEED","1","1","True"
"340ArianaGrande","#Focus out 10.30.15   'My Everything' Available now on iTunes: http://t.co/9jGXBIcdly  _() _","@sxnnyy and the window was beside me and i was freezing too.","D8A7DB","FFFFFF","1","1","True"
"krs21da","","Tesla v. tree: Who wins? https://t.co/9hzvGWoRay","0084B4","C0DEED","1","0","False"
"daneherbst","sports nut,I dont train chest on mondays,I'm close to finding big foot, even closer to finding nemo, great maker of coffee and boiler of eggs","@BreytonPaulse @t_jacoby BTW cant keep persisting with habana &amp; Jp,they had their time, it's not down to Mapoe and senatla #ExcitingShitThat","0084B4","FFFFFF","0","1","False"
"VintageMuskoka","It's ALL about the craft! Craft beer that is! And I still dislike:  snow, socks and spiders!!! My hashtag for life:  #beermakeseverythingbetter","@ItsMeDee555 @godinguitarguy #boozysuzy Yep...I speak the whole truth and nothing but the truth ;)","FF0000","65B0DA","1","1","True"
"LouLeeson","","4 days and counting __","9266CC","0","1","1","True"
"CataclysmGames","Indie video/tabletop #gamedev & promoter! I also do book reviews at @twbookclub. MAJOR Destiny Addict (XB1), I use my gal's account: UnbirthdayAngel","I'm just sitting here waiting for the time gated quest to kill Crota with a fireteam full of Crota/oryx/eris masks","2FC2EF","181A1E","0","1","False"
"randycastro72","","EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens","0084B4","C0DEED","0","1","False"
"samrye_enspiral","Spaces & Ventures for social & enviro regeneration | @lifehackHQ @enspiral @volunteer_app | musings on wellbeing, design, #socent, volunteering, ecology & neuro","Revisiting my work on Designing a #MVP. You can get the free ebook &amp; canvas here: https://t.co/vUdYL2oXJV","8A7302","BCB302","0","0","True"
"babeniallniall2","","Hi princess of light eyes _. 
You and a great makeup artist __ .
You are awesome Lottie . 
Please follow me babe ? __ @lottietommo x530","0084B4","C0DEED","1","1","True"
