"Train Accuracy = 56.0000002384"
"Loss = 0.758277"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"HBfromKC","Hopeless Romantic. Pro-Black. Milf. Lover of all things Drake, Ye, KDot, Cole. BEWARE: Sarcasm is my 2nd language. #BeardObsessed #BigFineAsWine #25AndUpTwitter","My eyes are single bih. Won't flirt. Won't touch. But lust of the eyes? You daaaayyyuuuummm right.","9999","FFFFFF","1","1","True"
"carolsexton500","Ole Miss graduate, M.Ed, Ed Specialist. Former Rebelette. Avid Ole Miss fan! Love my family and dog Peanut! Kickboxing is my hobby. Teacher. Tupelo MS","What a typical Monday with the rain,  plus my alarm did not go off and I was late. Then one thing after another when I got to school.","0084B4","C0DEED","1","1","True"
"Macyb27","","@Macyb27 and make things right with your girl because she may not be here waiting much longer","B40B43","CC3366","1","1","True"
"aIohacowboy","Everyone you know, everyone you love, they could be long dead. Everyone except me. I'm the one who will have to watch you murder the world.","happy to see him loved and praised and hugged and just generally protected.","0084B4","C0DEED","0","1","False"
"Brody_Edwards24","Reporting live from the gutter #FutureHive","_ this is the type of emoji you use when your home boys roasting you and you just tryna play it off cool __","0","C0DEED","0","0","True"
"Rosakyaaa","Random shit | Finnish English | BTS trash |","I'm just waiting for my queen bommie to come back home, I love her voice and wish that she would adopt new singing techniques for her health","0084B4","C0DEED","1","1","True"
"WavePIlls","Listen.good.music. @songpills","New!: Placebo - The Bitter End (MTV Unplugged) - https://t.co/WlO4bfs5h5 https://t.co/3WMAwtm9K5","0","0","1","1","True"
"vict0ria_af","feminist","i tie dyed a shirt last year and now it's pink :-((( https://t.co/Gvgn6r7y8B","9266CC","0","1","1","True"
"jotdragon","i dive and i love the water and skiing","@emasar3 @erinmcleod18 the McLeods are up to something...I can sense it","0084B4","FFFFFF","1","1","True"
"brians62","","@_NicoleBrooks Option 2...Go to the student bar","0084B4","C0DEED","0","1","False"
