"Train Accuracy = 47.9999989271"
"Loss = 0.805986"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"OmNomDom","","Y'all stay talking about how great DAAP is and y'all couldn't even ask them to design you a decent Bearcat Card? #UCDoBetter @uofcincy","C70213","D3D2CF","1","1","True"
"cacucaladip","YNN","#hot  DVDs: Brilliant ""Bill Hicks,"" Dope ""Dope,"" And Hilarious ""Monty Python And The... https://t.co/eNzcmHkNs3 #prebreak #best","0084B4","C0DEED","1","0","False"
"cdngator1","York U S/O. Living the Dream Every Day. That's the only way to have it. Tweets & opinions are my own & not of my employer.","@StarWarsCop That makes it a ""feel good day"" and know you are making a difference even in a small way. __","0084B4","C0DEED","0","0","True"
"karisemmi","Truro College.","spent all day with this family and thought i'd really made an impression on them until they said ""bye Paris"" :)","0084B4","FFFFFF","1","1","True"
"DrewisSpiderMan","Drew is Spider man Drew is 9 days older than me","@johnnysimmons you love champagne and look at that cheesy grin xxxx https://t.co/iTUYoqzHgY","0084B4","C0DEED","0","1","False"
"hippedyhop","","@LindaSuhler He is the jack jaw mouth of all give away he is hillary's echoes she don't have say it he does it 4 her he wants 2 work 4 her!","0084B4","C0DEED","0","0","True"
"eleid","","@Caren329 @NantzJuDo4ever @CapeMcMoose She finally is breaking away from the daytime stigma, I could never wish her back.","FF0000","FFFFFF","1","1","True"
"nik_rok","Troublemaker. Rabblerouser. Foolio. Sage. Jack of all trades + master of seven.","Dude eating McDonald's and screaming into his cellphone on the quiet car wants to be President. #ChrisChristie","0084B4","C0DEED","1","0","False"
"OneSmallSavage","","Toddler made herself gag halfway through dinner because she didn't want to eat it. Nice try, kid, but I invented the fake gag #nosympathy","0084B4","C0DEED","1","1","True"
"RosesAndRellos","daddy ain raise no pussy","It b the ugly friend that hate with the girl who don't like you. Guhhhhh stop you know I'm dumb poppin don't lie to her","0084B4","C0DEED","1","0","False"
"triaticr","YOU ALWAYS WILL BE MY SUMMER LOVE 11092015                
       i see you larry","how about cup 

of shut the fuck up?","0","FFFFFF","0","1","False"
"liasophia2012","Married with 4 kid & 3 grandkids. I work at a school, I'm a Certified Personal Trainer and I'm a lia sophia Jewelry Advisor.. And I LOVE ALL 3 of my titles!!","Skellys Farm.. With the kiddos.. The kids thought it was funny Mr Long &amp; put our faces with theirs _______","0084B4","C0DEED","1","1","True"
"Currtis25Harr","Whovian,horror, sci fi and comic book  fan. chamingly snarky and smart ass Texas dad. Horrorist admin.","@AMCTalkingDead @joshgad @hardwick was the baby food a clue to Enid being a wolf #TalkingDead","0084B4","C0DEED","0","1","False"
"paidamoyogt","Most of my tweets are in Shona. Sorry in advance. University of the Witwatersrand-Wits. Witsie","Nompendulo and Shaeera were in a secret meeting with Zuma's daughter at 12 midnight","0","0","1","0","False"
"pinkandtweed","I like tweeting about politics & beer mostly. For business tweets follow @bbbrandsukphil. Director of @bbbrandsuk","Oh lordy no.  What's going on with the world... https://t.co/Ue4yIwBDkH","FF0000","FFFFFF","0","0","True"
"silverranger1","a former knight of domino and guardian of the silver energem wife @dinorangerpink1 kids @redrangerned @tecna3_winxclub @winxclubmusa6 @winxclub_aisha0","@Tecna3_winxclub @red_dino_ranger is that the titano zord you found it at last","ABB8C2","0","0","1","False"
"HOUSESOFGOLD","we've got a double question here! | 8.18.15","I think the clip at the end is from hometown _ https://t.co/XJWJzzeJHf","FFCC4D","0","1","1","True"
"tim_rolls","House husband, retired & married to artist. 2 kids @ Uni. CST chair. Aspiring to authorhood. Any opinion expressed here purely personal point of view","@10thMar1905 @TrueblueTerri @JustForFrills boiled sweets and Ribena carton already packed","0084B4","C0DEED","0","1","False"
"chinese_honey","my heart is yet to be thawed","@lxftalone *joe and Demi TF fake fan","331188","FFFFFF","1","0","False"
"aligniall","Here at One Direction we like to celebrate love, in all forms. And love is love.","2121 My 5 boys happy and safe","2A282B","FFFFFF","0","1","False"
"caseroo7","Book Lover & Reviewer, Scrapbooker & DIYer!","#NewRelease The Lies and Truth Duet by @RachaelAuthor is #LIVE
#OneClick your copy today:
https://t.co/dOvNIvnUhj https://t.co/VTWbsMAWq3","38543","EEEEEE","1","1","True"
"MaiaGeistDvi_","Life Out There: Its Alive! Its Alive! Maybe Right Here on Earth","Forever putting in 100% and getting back 2%","9266CC","0","1","0","False"
"cemberlii","I like to call myself a writer///
Melanin+Curls///
Pro Woman+Pro Black///Reader+Blogger","Last week a teacher said that going to an HBCU doesn't give you an accurate perception of what the world is like and I'm still not over it","3B94D9","0","1","0","False"
"FitSlimStrong","Dad of 3 messers | Guinness & Crisp Afficionado |
Owner FitSlimStrong PT Studio | Belly Wizard","@anniefinn I get excited when I've no 5.45am session in the morning and get to lie in til 6am!","0084B4","C0DEED","0","1","False"
"RizzyRamz","PUFFY IS BACK","___ I love this person though @_Ditsie_  the main reason why I stay questioning people","2FC2EF","181A1E","1","1","True"
"TheCashFargo","| Contact stcustoms@gmail.com for Business @mousa504 | #JetLife | Curren$y / Cash Fargo project coming soon! Riff Raff Album on the way | Jet Life Recordings","Certain shit you just had to be there for... Certain people and things and houses I be in, you just gotta be in the circle to see it all","ABB8C2","0","0","1","False"
"KangenGaa","","One States Struggle to Make Ends Meet: Why Illinois Is Without a Budget https://t.co/kdAiUftKyG","AD6751","FFFFFF","1","1","True"
"unattached_","A Working Progress SAU'17","I need the next 25 days to hurry Tf up &amp; be over","0084B4","FFFFFF","1","0","False"
"DaRealKhefner","yup.","@NICKIMINAJ bey cracked on stage first. You was mad serious till the very end. __","F5ABB5","0","0","1","False"
"Itanduofores","You, why all that vacuum and I","@FashyGoy1 what it means is ancient saying 'knowing your self'. and that being white mail does not mean better than anyone else on earth.","1F98C7","C6E2EE","1","0","False"
"swaggersohigh74","leo//poet// CEO//$C:swaggersohigh74 //In God We Trust.!!!\\ 615\\#CheeseHead//#KingsMusic","I think the rain got everybody sleepy.!!!","0084B4","C0DEED","0","0","True"
